"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"67205099999","2005-03-16T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","75","90","","","","9","60","","29.82","","18.64","","150","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  16123 67205 31580 41510 10325 20237 40099 70191 84900 333 58000 94394;","","","","","","","","","",""
"67205099999","2005-03-17T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","77","84","","","","9","79","","29.90","","18.64","","170","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  17063 67205 32580 21707 10289 20248 40124 82200 333 20246 50530 55117 59005 94320 555 10000;","","","","","","","","","",""
"67205099999","2005-03-18T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","77","91","","||TS","","9","62","","29.84","","18.64","","140","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  18123 67205 31580 61408 10330 20249 40104 71792 84933 333 58001 94394;","","","","","","","","","",""
"67205099999","2005-03-19T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","78","82","","","","9","85","","29.90","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN110AAXX  19063 67205 12580 30000 10280 20253 40124 60184 82201 333 20245 50600 55092 59005 94320 555 00178 10000;","","","","","","","","","",""
"67205099999","2005-03-19T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","76","80","","","","9","87","","29.82","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  19123 67205 12580 70000 10268 20245 40099 60021 879// 333 59005 94390;","","","","","","","","","",""
"67205099999","2005-03-21T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","78","81","","","","9","90","","29.85","","18.64","","140","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN110AAXX  21063 67205 32580 41407 10271 20254 40110 60074 84900 333 20242 50240 55096 59009 94394 555 00070 10051;","","","","","","","","","",""
"67205099999","2005-03-21T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","76","89","","","","9","65","","29.78","","18.64","","020","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  21123 67205 11580 60205 10315 20242 40084 60021 72196 84903 333 59005 94393;","","","","","","","","","",""
"67205099999","2005-03-22T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","77","82","","","","9","86","","29.87","","18.64","","170","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN110AAXX  22063 67205 12580 61708 10278 20252 40116 60024 84930 333 20245 50420 55080 58006 94394 555 00025 10070;","","","","","","","","","",""
"67205099999","2005-03-23T08:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","75","81","","","","9","82","","29.85","","18.64","","160","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN104AAXX  23063 67205 12580 61612 10275 20241 40110 69944 83230 333 20250 50490 55104 59006 94324 555 10025;","","","","","","","","","",""
"67205099999","2005-03-23T14:00:00","-11.361789","40.354875","27.12","MOCIMBOA DA PRAIA, MZ","FM-12","4","","77","91","","","","9","65","","29.76","","18.64","","080","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  23123 67205 32580 60806 10326 20251 40077 84230 333 59012 94322;","","","","","","","","","",""
