"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"47185043263","2006-01-01T00:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","39","49","","","-0.01","0","68","","30.30","30.05","12.43","44","050","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  31154 47185 42570 80509 10096 20040 30175 40262 50003 8452/;","","","","","","","","","",""
"47185043263","2006-01-01T03:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","39","48","","","+0.04","7","71","","30.26","30.01","12.43","44","110","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  31184 47185 42570 81104 10090 20040 30161 40248 57014 8352/ 333 92022;","","","","","","","","","",""
"47185043263","2006-01-01T06:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","39","48","","","+0.02","8","71","","30.25","29.99","12.43","44","140","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  31214 47185 42570 81405 10090 20039 30155 40243 58006 8352/;","","","","","","","","","",""
"47185043263","2006-01-01T09:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","42","51","","","-0.01","3","71","","30.26","30.00","15.53","47","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  01004 47185 12575 80000 10103 20053 30159 40246 53004 69912 8351/ 333 20081 30009 70001 92022;","","","","","","","","","",""
"47185043263","2006-01-01T12:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","42","48","","||RA","+0.03","7","77","","30.23","29.97","12.43","45","050","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  01034 47185 41570 80512 10091 20053 30150 40237 57009 76062 8472/;","","","","","","","","","",""
"47185043263","2006-01-01T15:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","40","46","","","+0.04","7","81","","30.19","29.94","7.46","43","050","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  01064 47185 42562 80510 10077 20046 30138 40225 57012 8552/ 333 92022;","","","","","","","","","",""
"47185043263","2006-01-01T18:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","40","47","","","-0.03","3","78","","30.17","29.91","7.46","44","050","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01094 47185 42562 80510 10081 20044 30129 40216 53009 8552/;","","","","","","","","","",""
"47185043263","2006-01-01T21:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","37","48","","","-0.01","3","66","","30.15","29.90","12.43","43","020","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN112AAXX  01124 47185 12570 80217 10087 20027 30124 40211 53005 69942 8552/ 333 10107 31006 55000 20055 70005 92033;","","","","","","","","","",""
"47185043263","2006-01-01T23:59:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","SOD  ","O","","","","","","","","","","","","","","","","","0739","1739","","","","","","","","","","","","","","","","","","","","RA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47185043263","2006-01-02T00:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","38","47","","","+0.01","8","73","","30.15","29.89","12.43","43","360","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01154 47185 32570 83619 10082 20036 30122 40209 58002 8552/;","","","","","","","","","",""
"47185043263","2006-01-02T06:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","39","47","","","+0.02","5","75","","30.14","29.88","9.32","43","020","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01214 47185 32565 80216 10081 20038 30120 40207 55007 8352/;","","","","","","","","","",""
"47185043263","2006-01-02T09:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","36","46","","","-0.02","2","69","","30.16","29.90","7.46","42","360","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  02004 47185 32562 83622 10078 20025 30126 40214 52006 8352/ 333 20077 31007 70005 92034;","","","","","","","","","",""
"47185043263","2006-01-02T12:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","33","46","","","-0.00","0","60","","30.16","29.90","4.97","40","360","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  02034 47185 31558 33623 10078 20004 30126 40213 50000 71022 83500;","","","","","","","","","",""
"47185043263","2006-01-02T15:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","33","46","","","+0.03","5","62","","30.13","29.87","7.46","40","360","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  02064 47185 32562 53627 10076 20007 30115 40203 55011 85500 333 92034;","","","","","","","","","",""
"47185043263","2006-01-02T18:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","32","44","","","-0.01","2","62","","30.14","29.88","7.46","39","360","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  02094 47185 32562 63632 10069 20001 30120 40207 52005 86500;","","","","","","","","","",""
"47185043263","2006-01-02T21:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","31","43","","","-0.03","3","61","","30.17","29.91","9.32","38","360","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  02124 47185 32565 63628 10063 21007 30129 40216 53009 86500 333 10095 30005 55048 20892 92046;","","","","","","","","","",""
"47185043263","2006-01-02T23:59:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","SOD  ","O","","","","","","","","","","","","","","","","","0739","1739","","","","","","","","","","","","","","","","","","","","BR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47185043263","2006-01-03T03:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","32","45","","","","","61","","30.17","29.91","9.32","40","360","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  02184 47185 32565 63632 10070 21001 30129 40217 86500 333 92046;","","","","","","","","","",""
"47185043263","2006-01-03T06:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","26","41","","","+0.03","7","54","","30.19","29.93","15.53","35","020","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  02214 47185 32575 20224 10051 21036 30135 40223 57011 82500;","","","","","","","","","",""
"47185043263","2006-01-03T09:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","21","41","","","-0.07","2","45","","30.26","30.00","18.64","34","020","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  03004 47185 32980 40221 10050 21062 30158 40246 52023 80002 333 20046 30004 92033;","","","","","","","","","",""
"47185043263","2006-01-03T12:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","19","41","","","+0.01","8","41","","30.25","29.99","18.64","33","050","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  03034 47185 32580 50514 10051 21071 30155 40244 58003 85500;","","","","","","","","","",""
"47185043263","2006-01-03T15:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","16","41","","","+0.01","5","36","","30.23","29.97","18.64","32","020","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  03064 47185 32580 50222 10051 21088 30150 40238 55005 85500 333 92034;","","","","","","","","","",""
"47185043263","2006-01-03T18:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","20","39","","","+0.01","8","46","","30.23","29.96","18.64","32","070","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  03094 47185 32580 60712 10040 21068 30147 40236 58003 86500;","","","","","","","","","",""
"47185043263","2006-01-03T21:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","22","39","","","-0.01","2","51","","30.24","29.98","18.64","33","070","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  03124 47185 32580 60711 10037 21056 30152 40240 52005 86500 333 30002 55026 20638 92033;","","","","","","","","","",""
"47185043263","2006-01-04T00:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","23","40","","","-0.01","3","49","","30.23","29.97","18.64","34","050","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  03154 47185 32680 50513 10046 21052 30148 40236 53004 85500;","","","","","","","","","",""
"47185043263","2006-01-04T03:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","23","40","","","-0.01","0","52","","30.24","29.97","18.64","34","070","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  03184 47185 32680 60714 10044 21048 30150 40239 50002 86500 333 92034;","","","","","","","","","",""
"47185043263","2006-01-04T06:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","27","41","","","+0.01","5","58","","30.22","29.96","18.64","36","050","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  03214 47185 32580 80513 10048 21029 30146 40235 55004 8352/;","","","","","","","","","",""
"47185043263","2006-01-04T09:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","22","39","","","-0.03","2","51","","30.26","29.99","12.43","33","050","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  04004 47185 32570 80514 10039 21054 30157 40246 52011 8322/ 333 20037 30003 92034;","","","","","","","","","",""
"47185043263","2006-01-04T12:00:00","33.2","126.266667","27.1","CHEJU DO K 39, KS","FM-12","4","","30","39","","","-0.00","0","70","","30.26","29.99","15.53","35","050","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  04034 47185 41575 80511 10037 21013 30157 40246 50000 72382 8322/;","","","","","","","","","",""
