"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"24219099999","2022-01-01T00:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-39","-34","","","+0.00","8","74","OVC:08","30.16","29.15","12.43","-34","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41998 80000 11365 21394 39871 40213 58001 77172 8807/=","","","","","","","","","",""
"24219099999","2022-01-01T03:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-37","-32","","","+0.02","7","75","SCT:03","30.14","29.13","12.43","-32","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41998 80000 11356 21384 39865 40205 57006 77172 83076=","","","","","","","","","",""
"24219099999","2022-01-01T06:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-45","-40","","","0.00","4","73","FEW:02","30.15","29.13","31.07","-40","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41999 30000 11398 21428 39865 40211 54000 70271 82045=","","","","","","","","","",""
"24219099999","2022-01-01T09:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-44","-39","","","-0.01","3","74","FEW:02","30.16","29.14","12.43","-39","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08824219 11998 80000 11395 21423 39867 40213 53002 69932 77171 82046 333 21414 47010 55000=","","","","","","","","","",""
"24219099999","2022-01-01T12:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-45","-40","","","-0.01","2","74","FEW:02","30.16","29.14","12.43","-40","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41998 80000 11400 21428 39869 40215 52002 77172 82046=","","","","","","","","","",""
"24219099999","2022-01-01T15:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-47","-42","","","0.00","4","76","FEW:02","30.17","29.14","12.43","-42","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41998 80000 11413 21438 39869 40217 54000 77172 82046=","","","","","","","","","",""
"24219099999","2022-01-01T18:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-51","-46","","","-0.02","3","71","FEW:02","30.20","29.16","31.07","-46","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06024219 41999 30000 11433 21463 39875 40227 53006 70271 82045=","","","","","","","","","",""
"24219099999","2022-01-01T21:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-54","-50","","","-0.02","2","76","FEW:02","30.23","29.18","31.07","-50","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07624219 11999 20000 11454 21478 39882 40237 52007 69922 70271 82040 333 11400=","","","","","","","","","",""
"24219099999","2022-01-02T00:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-55","-51","","","-0.01","1","75","FEW:02","30.24","29.19","31.07","-51","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN05424219 42999 20000 11461 21486 39884 40240 51002 82040=","","","","","","","","","",""
"24219099999","2022-01-02T03:00:00","67.1333333","108.5333333","235.83","YAROL IN, RS","FM-12","4","","-57","-52","","","-0.01","2","70","FEW:02","30.25","29.20","31.07","-52","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN05424219 42999 20000 11466 21496 39887 40245 52003 82040=","","","","","","","","","",""
